type;iocs;Verions;Date;Reference
package;@tallyui/connector-medusa;ÿ1.0.1,ÿ1.0.2,ÿ1.0.3;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/tool-workflowcompiler;ÿ0.0.12;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/vss;ÿ0.1.6;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tallyui/theme;ÿ0.2.1,ÿ0.2.2,ÿ0.2.3;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tallyui/storage-sqlite;ÿ0.2.1,ÿ0.2.2,ÿ0.2.3;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/solutionpackager-sdk;ÿ1.0.11;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tallyui/connector-vendure;ÿ1.0.1,ÿ1.0.2,ÿ1.0.3;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tallyui/core;ÿ0.2.1,ÿ0.2.2,ÿ0.2.3;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tallyui/connector-woocommerce;ÿ1.0.1,ÿ1.0.2,ÿ1.0.3;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tallyui/components;ÿ1.0.1,ÿ1.0.2,ÿ1.0.3;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/ui-widgets-multi-file-upload;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tallyui/pos;ÿ0.1.1,ÿ0.1.2,ÿ0.1.3;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tallyui/database;ÿ1.0.1,ÿ1.0.2,ÿ1.0.3;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@supersurkhet/cli;ÿ0.0.2,ÿ0.0.3,ÿ0.0.4,ÿ0.0.5,ÿ0.0.6,ÿ0.0.7;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
