Type,Artifacts,Package,Version,Date,Reference
package,@ml-toolkit-ts/xgboost@1.0.3,@ml-toolkit-ts/xgboost,1.0.3,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,nextmove-mcp@0.1.3,nextmove-mcp,0.1.3,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,ml-toolkit-ts@1.0.4,ml-toolkit-ts,1.0.4,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/telemetry@0.0.7,@uipath/telemetry,0.0.7,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@draftauth/client@0.2.1,@draftauth/client,0.2.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@ml-toolkit-ts/preprocessing@1.0.2,@ml-toolkit-ts/preprocessing,1.0.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tallyui/connector-medusa@1.0.1,@tallyui/connector-medusa,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/tool-workflowcompiler@0.0.12,@uipath/tool-workflowcompiler,0.0.12,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/vss@0.1.6,@uipath/vss,0.1.6,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tallyui/theme@0.2.1,@tallyui/theme,0.2.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tallyui/storage-sqlite@0.2.1,@tallyui/storage-sqlite,0.2.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/solutionpackager-sdk@1.0.11,@uipath/solutionpackager-sdk,1.0.11,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tallyui/connector-vendure@1.0.1,@tallyui/connector-vendure,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tallyui/core@0.2.1,@tallyui/core,0.2.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tallyui/connector-woocommerce@1.0.1,@tallyui/connector-woocommerce,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tallyui/components@1.0.1,@tallyui/components,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/ui-widgets-multi-file-upload@1.0.1,@uipath/ui-widgets-multi-file-upload,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tallyui/pos@0.1.1,@tallyui/pos,0.1.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tallyui/database@1.0.1,@tallyui/database,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@supersurkhet/cli@0.0.2,@supersurkhet/cli,0.0.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tallyui/connector-shopify@1.0.1,@tallyui/connector-shopify,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@tolka/cli@1.0.2,@tolka/cli,1.0.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
